,text,state,date,star,hp_data
0,"PLEASE DO NOTE THAT: THE TV DOES NOT COME WITH A TABLE TOP STAND. TECHNICIAN FROM JEEVES PROVIDED BY FLIPKART HAS ABSOLUTELY NO KNOWLEDGE, IS COMPLETELY UNPROFESSIONAL AND USELESS. HE DOES NOT HAVE ACCESS TO TABLE TOP STAND, YOU WILL HAVE TO GET IT SEPARATELY FROM SAMSUNG SERVICE CENTRE. UTTERLY DISAPPOINTED WITH FLIPKART AND JEEVES.","Certified Buyer, New Town","Sep, 2021",1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
1,"The picture quality is very very bad, I didn't expect from this samsung brand....","Certified Buyer, Dindigul",10 days ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
2,Very bad experience automatic switch off/on also some time facing sound issue sound not coming,"Certified Buyer, Noida",18 days ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
3,I ordered but in 20 days screen went blurring.not working,"Certified Buyer, Hosapete",19 days ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
4,Nice products,"Certified Buyer, Sheohar District",28 days ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
5,Worst experience with Flipkart.... Very worst app for shopping electronics...,"Certified Buyer, Guntur District",1 month ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
6,"Very slowly working and something hanging issue found.
Sound quality avarage.","Certified Buyer, Kolhan Division",1 month ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
7,This is really worst item. Picture quality is the worst. Don't purchase please.,"Certified Buyer, Jaisalmer",2 months ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
8,"After buying Samsung TV, when I called for installation, I had to face trouble with customer care and I don't get any cancellation option from Flipkart and no matter how much I talked to Flipkart customer care, I don't get any result, so please think before buying.","Certified Buyer, New Delhi",2 months ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
9,Worst product. Alway have wifi connectivity problem. Have internal problem from starting. I sell it today at 2000,"Certified Buyer, Rangia",2 months ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
10,"8 day only life, board problem, don't buy this. Wast of money","Certified Buyer, Cuddalore District",4 months ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
11,"Among many other shortcomings, the worst one is that it doesn't have a 3.5mm audio out jack. Samsung, are you that confident with your speakers or is your design team underpaid?","Certified Buyer, Jeypur",4 months ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
12,Its ozm product in this price range,"Certified Buyer, Perinthalmanna",4 months ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
13,"Very Bad Experience. Never excepted from Flipkart and Samsung. I lost my faith from Flipkart and Samsung.
Never buy electronic items from Flipkart.","Certified Buyer, Rourkela",4 months ago,1,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL)
