,text,state,date,star,hp_data
0,"This ac have big issue, when you turn on the ac noise is coming before cooling and services not providing well form samsung customer support. Cooling is best but service not good😡😡","Certified Buyer, Udgir",1 month ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
1,"3rd class ac..
Air flow quality very poor","Certified Buyer, Durg",2 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
2,The product is very bad its not cooling the specification is its work without steplizer but it not the service of samsung is badd they are not reply for my problem that i have raised from last 3-4 days,"Certified Buyer, Pataudi",2 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
3,Not too good it consume 1 unit in half and hour not energy saver ..ai mode not working properly not so good response..too power consume in compare to non inverter ac ..i did not like that .cooling not good,"Certified Buyer, Ganaur",2 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
4,"One of the worst ACs is never buy Samsung AC. Always go for Daikin and LG.

Takes too much time to start cooling and does not cool the air just run the fan.","Certified Buyer, Badlapur",2 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
5,Bad seller Dont buy it,"Certified Buyer, Erode",3 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
6,Waste of money no cooling,"Certified Buyer, Bhokardan",3 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
7,Very bad product don't buy it because the comp... Is very noise and Hamming sound coming I unable to used it because the sound coming from outdoor unit it terrible,"Certified Buyer, Durgapur",3 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
8,"Too much noise from the machine not installed properly .
Need to return the product or pls arrange the technical team and fix the problem
I do have same Samsung brand Ac almost one year old but runs so smooth and no noise from the machine","Certified Buyer, Surat",3 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
9,"Features and Design is good, Only problem is noise level from outdoor unit is very very high you will feel like you are in some factory.","Certified Buyer, Latur",3 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
10,Samsung AC is not cooling,"Certified Buyer, Mahnar Bazar",4 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
11,"Worst decision ever to buy this ac. Its been hardly 2 months. No cooling at all. Already reached out twice to get a service. They answer the phone but didn't come for service.

Water drops coming out of ac. New sound coming everytime. Damm its a garbage. Why did i buy it.","Certified Buyer, Bengaluru",4 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
12,defective product,"Certified Buyer, Hyderabad",4 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
13,Cooling 0% not good don't buy... buy to LG or other brands..,"Certified Buyer, Bijnor District",4 months ago,1,"SAMSUNG AI Pro 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect - White  (AR18CY5YAWK|AR18CY5YAWKNNA|AR18CY5YAWKXNA, Copper Condenser)"
