,text,state,date,star,hp_data
0,Water is coming,"Certified Buyer, Chirala",6 days ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
1,Side body over when use lo cooling ... please don't buy this product..,"Certified Buyer, Anakapalli District",21 days ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
2,Not cooling fast bad quality... Im not happy,"Certified Buyer, Samastipur District",27 days ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
3,"Not up to the mark, it is producing too much sound like a cut cut, it seems to me that something is broken inside the compressor. Horrible I will not recommend to buying this, if you go for Samsung it is actually a waste of money to spoil your sleep at night due to the horrific sound.","Certified Buyer, Presidency Division",1 month ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
4,Worst product,"Certified Buyer, Bathinda",1 month ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
5,Out side heating,"Certified Buyer, Bhiwadi",1 month ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
6,Damaged,"Certified Buyer, Siddharthnagar District",1 month ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
7,The product is very good delivery boy behavior is also so good,"Certified Buyer, Agartala",1 month ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
8,Refridgerator got heat at both sides,"Certified Buyer, Salem",1 month ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
9,Very poor experience,"Certified Buyer, Basirhat",1 month ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
10,Poor,"Certified Buyer, Jharia Khas",1 month ago,1,"SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter  (Camellia Blue, RR20C1824CU/HL)"
