,text,state,date,star,hp_data
0,Product is making loud rattling noise,"Certified Buyer, Pune",9 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
1,"Very bad experience with installation.
Product is delivered on 5th oct. And today on 10th oct the status is shown that the installation cancelled.
It's too worst service is providing the flipkart.
Not expected.","Certified Buyer, Vashind","Oct, 2022",1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
2,"The touch pad of the machine has issues from day
Machine stops working in middle very bad experience","Certified Buyer, Mumbai",2 days ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
3,Not satisfied,"Certified Buyer, Vijayawada",10 days ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
4,"After 2 days using having issue of water supply and when I complain to customer care worst response, 1 week happen but still technician not came .... Worst service by samsung plz don't buy... Better go for Other company.","Certified Buyer, Hyderabad",13 days ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
5,"Installation service not handled well, trained professionals should be assigned for this task. In my case they just gone through the display functions, clicked their necessary job photo and went off as they were not able to solve water leakage, tap issue.","Certified Buyer, Hyderabad",13 days ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
6,It stopped working within just 10 days. The drum is not spinning. Bad quality product. Samsung is the worst.,"Certified Buyer, Baleshwar District",16 days ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
7,"Genuine review:

Samsung 8.0 kg , the quality of drum is very poor. very light. Not so strong . When knock on the drum, the sound itself speaks of low quality. I had 7.5 kg MARQ front load washing machine. Very robust, drum strong, good build quality. Outer front body got rust with time. It ran 5 years. 2 times per day. 365 days for 5 years.

The door nut and bolt and its fixation with the machine body is of poor quality. If by mistake if you open the door with jolt/ by force, to its maximu...
READ MORE","Certified Buyer, Purba Medinipur",17 days ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
8,Not happy with the installation. Worst customer service. Also the quality of washing is not up to the mark. Washing quality i.e Stain removing is very less when compared to Bosch washing machine.,"Certified Buyer, Krishnagiri District",20 days ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
9,Worst design and worst installation.....,"Certified Buyer, Nagari",28 days ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
10,Worst product ever..I could not used this product for one month..,"Certified Buyer, Chakdaha",2 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
11,Good Product with bad installation by jeeves,"Certified Buyer, Hyderabad",3 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
12,Not Working,"Certified Buyer, Ernakulam",4 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
13,"From the first day, machine is vibrating abnormally. I have also raised the complaint at Samsung help centre. Even after 7 days of complaint, the issue is not resolved yet. Worst service by Samsung.","Certified Buyer, Umred",4 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
14,"Machine is good, installation guy is very worst service, not a technical person,only money minded person, jeeves customer service very worst.i am very disappoint for installation, he only get OTP so complete the work, next day local guy come and install the machine properly so good working for machine,Flipkart is very good.","Certified Buyer, Bengaluru",5 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
15,"The installation part was pathetic, the technician was totally unaware about the procedure and unable to do even basic things , the things done by him can be done by anyone instead of such technician DIY is better","Certified Buyer, Ramanathapuram District",5 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
16,Vibration and noise while operation is very high. Its sound is so high that the entire neighborhood can hear. Don't purchase this product.,"Certified Buyer, Bilaspur",5 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
17,"Worst experience, the seller rejects exchange","Certified Buyer, Dharmapuri",6 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
18,Price dropped not value for money,"Certified Buyer, Tumakuru",6 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
19,"Please don't buy this washing machine there are no features as mentioned in the site, it gets more vibration with irritating sound its a waste of money please go for any other washing machine 🙏","Certified Buyer, Bengaluru",6 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
20,"I am buying washing machine 2 months back
1 month is good working now is making noise like generator technician it will come but he is telling 1400 RPM its same sound but one month back it's running smoothly but now high sound not good quality please don't buy","Certified Buyer, Mandya District",6 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
21,Daily wash mode Last 15 min noise is soo loud. It's not good,"Certified Buyer, Sultanpur",6 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
22,Poor service from Samsung. Installation and demo was pathetic. Technician unpacked the product. No proper testing and No proper demo performed. This sort of After sales from Samsung was unexpected. Not at all happy and the service from Samsung seems to be a big concern.,"Certified Buyer, Hyderabad",6 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
23,Worst product and worst customer support from Flipkart,"Certified Buyer, Betul",7 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
24,I am not like this item,"Certified Buyer, Chennai",7 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
25,Product was very good... But the delivery boy was very rude... I m shock how Flipkart appointment such ridiculous person for delivery product... I would like to give him -10 star... Very much disappointed with him...,"Certified Buyer, Pune",8 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
26,Very worst performance heavy noises,"Certified Buyer, Krishnagiri District",9 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
27,"Installation engineer is not done any installation and simply took photo and went back. After sometime I got message installation is done.
Asking money please raise for reinstallation.
Don't send rude guys for work next time.","Certified Buyer, Bagalkot",9 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
28,I need replacement machine not working properly,"Certified Buyer, Vuyyuru",9 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
29,"Better go for IFB, no care after sales. Although Samsung is a renowned brand, its washing machine is not sturdy compared to IFB.","Certified Buyer, Gorakhpur",9 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
30,Waste of money,"Certified Buyer, Bhopal",9 months ago,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (WW80T504DAX1TL)"
