,word,freq
0,product,178
1,lg,79
2,cooling,75
3,bad,71
4,good,70
5,buy,69
6,refrigerator,68
7,flipkart,68
8,fridge,60
9,worst,53
10,sound,52
11,working,49
12,service,47
13,one,42
14,issue,40
15,time,38
16,noise,37
17,quality,36
18,water,31
19,waste,31
20,money,28
21,days,28
22,freezer,27
23,2,27
24,poor,26
25,small,25
26,delivery,25
27,door,25
28,getting,24
29,problem,23
30,space,23
31,months,23
32,coming,22
33,1,22
34,month,22
35,making,22
36,ok,21
37,products,20
38,experience,19
39,compressor,19
40,issues,19
41,inside,18
42,year,18
43,go,18
44,return,17
45,within,17
46,size,16
47,like,16
48,need,16
49,day,16
50,years,16
51,also,16
52,low,15
53,purchase,15
54,big,15
55,since,15
56,facing,15
57,model,15
58,bottles,15
59,ice,15
60,times,14
61,much,14
62,problems,14
63,comes,14
64,every,14
65,sounds,13
66,side,13
67,freeze,13
68,value,12
69,last,12
70,properly,11
71,customer,11
72,tray,11
73,damage,11
74,happy,11
75,review,11
76,exchange,11
77,7,11
78,giving,11
79,back,11
80,still,11
81,use,11
82,pls,10
83,warranty,10
84,even,10
85,option,9
86,loud,9
87,average,9
88,body,9
89,items,9
90,3,9
91,per,9
92,makes,9
93,less,9
94,order,9
95,faulty,9
96,15,9
97,overall,9
98,bigger,9
99,heavy,9
100,price,8
101,disappointed,8
102,want,8
103,using,8
104,customers,8
105,got,8
106,6,8
107,read,8
108,bed,8
109,item,8
110,buying,8
111,tried,8
112,10,8
113,nice,8
114,brand,8
115,slow,8
116,think,7
117,design,7
118,main,7
119,light,7
120,purchased,7
121,performance,7
122,policy,7
123,really,7
124,given,7
125,online,7
126,mark,7
127,till,7
128,call,7
129,5,7
130,hours,7
131,may,7
132,power,6
133,came,6
134,bought,6
135,box,6
136,cool,6
137,used,6
138,dimensions,6
139,mentioned,6
140,received,6
141,support,6
142,type,6
143,pathetic,6
144,home,6
145,dangerous,6
146,three,6
147,usage,6
148,thermal,6
149,well,6
150,seriously,6
151,request,6
152,close,6
153,two,6
154,fan,6
155,damaged,6
156,going,6
157,result,6
158,scratch,6
159,care,6
160,health,6
161,multiple,6
162,technician,6
163,star,6
164,code,6
165,total,6
166,entire,6
167,started,6
168,260,6
169,ltr,6
170,another,6
171,complaint,6
172,racks,6
173,purpose,6
174,running,6
175,tired,6
176,falling,6
177,six,6
178,vibrating,6
179,samsung,6
180,heating,5
181,silent,5
182,please,5
183,satisfied,5
184,fixed,5
185,give,5
186,stopped,5
187,storage,5
188,requested,5
189,consumption,5
190,expect,5
191,company,5
192,perfect,5
193,alot,5
194,motor,5
195,center,5
196,smell,5
197,unable,5
198,rating,5
199,completed,5
200,2022,5
201,would,5
202,closing,5
203,supporting,5
204,taken,5
205,done,5
206,biggest,5
207,horrible,5
208,anything,5
209,rest,5
210,stored,5
211,defective,5
212,iam,5
213,installation,5
214,better,5
215,panel,4
216,current,4
217,says,4
218,part,4
219,twice,4
220,available,4
221,remove,4
222,perfectly,4
223,vegetable,4
224,say,4
225,different,4
226,always,4
227,dropping,4
228,units,4
229,heat,4
230,loose,4
231,area,4
232,20,4
233,replacement,4
234,technicians,4
235,response,4
236,many,4
237,flipcart,4
238,expected,4
239,delivered,4
240,way,4
241,lot,4
242,automatically,4
243,dissatisfied,4
244,malfunctioning,4
245,waiting,4
246,process,4
247,get,4
248,deep,4
249,stop,4
250,high,4
251,im,4
252,person,4
253,colour,4
254,zone,4
255,wast,3
256,base,3
257,missing,3
258,open,3
259,defrost,3
260,basket,3
261,wrong,3
262,hell,3
263,replacing,3
