,word,freq
0,tv,316
1,quality,211
2,product,160
3,lg,145
4,worst,145
5,picture,141
6,bad,134
7,good,134
8,flipkart,112
9,installation,104
10,remote,89
11,poor,83
12,sound,73
13,panel,72
14,buy,71
15,display,66
16,service,56
17,experience,46
18,working,46
19,purchase,44
20,days,42
21,model,40
22,please,39
23,brand,38
24,like,35
25,disappointed,33
26,new,33
27,2,31
28,support,30
29,money,30
30,better,29
31,1,29
32,also,28
33,app,28
34,software,26
35,magic,26
36,received,26
37,delivery,25
38,much,25
39,get,25
40,even,24
41,va,24
42,customer,23
43,many,23
44,day,22
45,want,22
46,issue,22
47,ever,22
48,demo,22
49,within,21
50,still,21
51,slow,21
52,waste,21
53,month,21
54,screen,20
55,apps,20
56,looks,20
57,led,20
58,given,20
59,5,20
60,item,19
61,4,19
62,2023,19
63,3,19
64,wall,18
65,one,18
66,months,18
67,see,18
68,os,18
69,time,17
70,change,17
71,never,17
72,properly,17
73,ok,17
74,pathetic,17
75,hd,17
76,6,17
77,well,17
78,bought,17
79,team,16
80,side,16
81,go,16
82,return,16
83,done,16
84,ips,16
85,satisfied,15
86,best,15
87,expected,15
88,problem,14
89,stand,14
90,price,14
91,low,14
92,years,14
93,engineer,14
94,voice,14
95,response,14
96,old,14
97,use,14
98,back,13
99,view,13
100,wrong,13
101,clarity,13
102,happy,13
103,useless,13
104,purchased,13
105,really,13
106,know,13
107,mount,12
108,july,12
109,buying,12
110,provided,12
111,video,12
112,update,12
113,thing,12
114,date,12
115,web,12
116,android,12
117,jio,12
118,viewing,12
119,care,11
120,times,11
121,available,10
122,class,10
123,worth,10
124,full,10
125,tvs,10
126,lag,10
127,10,10
128,connectivity,10
129,nice,10
130,dont,10
131,second,10
132,read,10
133,got,9
134,gone,9
135,anything,9
136,showing,9
137,provide,9
138,products,9
139,sometimes,9
140,save,8
141,colour,8
142,replacement,8
143,svc,8
144,third,8
145,sony,8
146,okay,8
147,happened,8
148,damage,8
149,could,8
150,amazing,8
151,condition,8
152,55,8
153,watching,8
154,status,8
155,horrible,8
156,whether,8
157,process,8
158,called,8
159,went,8
160,throwing,8
161,brightness,8
162,october,8
163,th,8
164,panal,8
165,ram,8
166,give,8
167,4k,8
168,later,8
169,take,8
170,vertical,8
171,line,8
172,body,8
173,long,8
174,cinema,8
175,world,8
176,cup,8
177,choice,8
178,worest,8
179,angle,8
180,front,8
181,review,8
182,whitish,8
183,observed,8
184,degrees,8
185,technician,7
186,smart,7
187,white,7
188,backlight,7
189,complaint,7
190,recommend,7
191,mi,7
192,using,7
193,bleeding,7
194,feel,7
195,bright,6
196,thinking,6
197,small,6
198,install,6
199,lacking,6
200,include,6
201,changing,6
202,way,6
203,think,6
204,show,6
205,box,6
206,pixels,6
207,purchasing,6
208,range,6
209,total,6
210,order,6
211,11,6
212,oct,6
213,delivered,6
214,lines,6
215,need,6
216,basic,6
217,3rd,6
218,guys,6
219,made,6
220,cannot,6
221,design,6
222,compared,6
223,point,6
224,light,6
225,samsung,6
226,fit,6
227,donot,6
228,policy,6
229,fast,6
230,top,6
231,cost,6
232,star,6
233,supported,6
234,request,6
235,audio,5
236,installed,5
237,services,5
238,high,5
239,company,5
240,ui,5
241,great,5
242,connect,5
243,hotstar,5
244,default,5
245,another,5
246,ticket,5
247,helpless,5
248,20,5
249,reputed,5
250,companies,5
251,mark,5
252,first,5
253,night,5
254,respond,5
255,providing,5
256,regarding,5
257,hanging,5
258,pin,5
259,wait,5
260,cheated,5
261,contact,5
262,iam,5
263,resolution,5
264,upto,5
265,two,5
266,things,5
267,completely,5
268,normal,5
269,issues,5
270,value,4
271,getting,4
272,taking,4
273,fitting,4
274,ur,4
275,shows,4
276,lcd,4
277,clear,4
278,coustomer,4
279,green,4
280,2024,4
281,control,4
282,raise,4
283,offered,4
284,far,4
285,flip,4
286,appliances,4
287,happens,4
