,text,star,hp_data,city,transformed_date,product_num
0,"Picture quality is very bad.. bright ness is more.. color is very dim, thinking LG is good , brought this. But not satisfied..",1,LG 80 cm HD Ready LED Smart WebOS TV,Bangalore,"Nov, 2023",32LM563BPTC
1,"Within 15 days we got a problem, small black dots are seen on the screen, very bad experience,",1,LG 80 cm HD Ready LED Smart WebOS TV,Mangalagiri,"Aug, 2024",32LM563BPTC
2,"Very bad, stand is not flexible, stand is not doing moment",1,LG 80 cm HD Ready LED Smart WebOS TV,Jewar,"Aug, 2024",32LM563BPTC
3,"Still we are waiting for installation but the technician saying if you buy a wall mount we will install otherwise we will fix the back panel which is support for wallmount
Very bad behaviour of technician please 🙏 don't buy this 😑",1,LG 80 cm HD Ready LED Smart WebOS TV,Nizamabad District,"Aug, 2024",32LM563BPTC
4,Worst brand,1,LG 80 cm HD Ready LED Smart WebOS TV,Bhiwandi,"Jul, 2024",32LM563BPTC
5,Not a value for money even the flipkart delivery is getting delayed and worsed day by day...one can purchase better product within this price ...,1,LG 80 cm HD Ready LED Smart WebOS TV,Vasai Virar,"Jul, 2024",32LM563BPTC
6,Too much laggy product.,1,LG 80 cm HD Ready LED Smart WebOS TV,Jamui,"Jul, 2024",32LM563BPTC
7,"Not working lg tv,",1,LG 80 cm HD Ready LED Smart WebOS TV,Bengaluru,"Jul, 2024",32LM563BPTC
8,Worst lg tv so lacking and taking time to change apps very slow,1,LG 80 cm HD Ready LED Smart WebOS TV,Visakhapatnam,"Jul, 2024",32LM563BPTC
9,VERY BAD PRODUCT AND VERY WORST CUSTOMER CARE AND VERY WORST INSTALLATION TEAM AND 5DOES GONE BUT NOT INSTALLATION WORK FOR TIV,1,LG 80 cm HD Ready LED Smart WebOS TV,Bengaluru,"Jun, 2024",32LM563BPTC
10,T v fitting very bad...biginchadaniki yavaru raledhu,1,LG 80 cm HD Ready LED Smart WebOS TV,East Godavari District,"Jun, 2024",32LM563BPTC
11,"0 Stars, Never purchase this product",1,LG 80 cm HD Ready LED Smart WebOS TV,Bengaluru,"May, 2024",32LM563BPTC
12,Never thought they dint include Bluetooth in smart tv. Complete waste of money,1,LG 80 cm HD Ready LED Smart WebOS TV,Bengaluru,"Apr, 2024",32LM563BPTC
13,Stand is poor,1,LG 80 cm HD Ready LED Smart WebOS TV,Bellary,"Apr, 2024",32LM563BPTC
14,"Disappointed this item
Bad picture quality
Sound quality is also very bad",1,LG 80 cm HD Ready LED Smart WebOS TV,Bengaluru,"Mar, 2024",32LM563BPTC
15,Display poor quality,1,LG 80 cm HD Ready LED Smart WebOS TV,Chennai,"Mar, 2024",32LM563BPTC
16,Wall stand not good it's simple stand,1,LG 80 cm HD Ready LED Smart WebOS TV,Bhilad,"Feb, 2024",32LM563BPTC
17,Picture quality very poor,1,LG 80 cm HD Ready LED Smart WebOS TV,Muzaffarpur,"Feb, 2024",32LM563BPTC
18,"Please don't buy,save ur money
Display is not working properly
Picture is getting stuck while playing",1,LG 80 cm HD Ready LED Smart WebOS TV,Guntur,"Feb, 2024",32LM563BPTC
19,Audio out port (AUX) is not available from TV,1,LG 80 cm HD Ready LED Smart WebOS TV,Vasai Virar,"Jan, 2024",32LM563BPTC
20,Middle class valueble money,1,LG 80 cm HD Ready LED Smart WebOS TV,Perambalur District,"Jan, 2024",32LM563BPTC
21,"Picture quality is very bad. Colour shows less and white shows more. Even aftet changing the settings, it looks the same.",1,LG 80 cm HD Ready LED Smart WebOS TV,Idappadi,"Jan, 2024",32LM563BPTC
22,Not best,1,LG 80 cm HD Ready LED Smart WebOS TV,Warangal,"Jan, 2024",32LM563BPTC
23,No 180 degree view colour gets whiten on side way angles,1,LG 80 cm HD Ready LED Smart WebOS TV,Sangli District,"Jan, 2024",32LM563BPTC
24,Picture quality very low,1,LG 80 cm HD Ready LED Smart WebOS TV,Ramanathapuram,"Dec, 2023",32LM563BPTC
25,tv panel quality very worst,1,LG 80 cm HD Ready LED Smart WebOS TV,Tiruvallur,"Dec, 2023",32LM563BPTC
26,Worst tv,1,LG 80 cm HD Ready LED Smart WebOS TV,Gurgaon,"Dec, 2023",32LM563BPTC
27,Poor,1,LG 80 cm HD Ready LED Smart WebOS TV,Devikapuram,"Dec, 2023",32LM563BPTC
28,Tv display britness was very low after display setting,1,LG 80 cm HD Ready LED Smart WebOS TV,Nashik,"Dec, 2023",32LM563BPTC
29,No buy this *LG TV 32inch because led display not working,1,LG 80 cm HD Ready LED Smart WebOS TV,Koppal,"Dec, 2023",32LM563BPTC
30,"This tv not led tv
This model lcd screen
Backlight only led
So purchase before think
Flipkart not support replacement
There r told sir plss ask lg brand
Show small box pixels
Picture colour also worst
Audio only ok
But rating all 4
Before think after purchasing this model tv",1,LG 80 cm HD Ready LED Smart WebOS TV,Coimbatore,"Dec, 2023",32LM563BPTC
31,Worst product and waste of money,1,LG 80 cm HD Ready LED Smart WebOS TV,Bengaluru,"Dec, 2023",32LM563BPTC
32,Not buy this product bad product sale by flipkart seller is flipkart,1,LG 80 cm HD Ready LED Smart WebOS TV,Navi Mumbai,"Dec, 2023",32LM563BPTC
33,Display quality is too poor,1,LG 80 cm HD Ready LED Smart WebOS TV,Hyderabad,"Dec, 2023",32LM563BPTC
34,Worst display,1,LG 80 cm HD Ready LED Smart WebOS TV,Guntur,"Nov, 2023",32LM563BPTC
35,"Poor quality, picture quality is very low and sound quality is very poor",1,LG 80 cm HD Ready LED Smart WebOS TV,Bellary District,"Nov, 2023",32LM563BPTC
36,Picture Quality is very poor in this price range,1,LG 80 cm HD Ready LED Smart WebOS TV,Fatehabad,"Nov, 2023",32LM563BPTC
37,Verry bad product,1,LG 80 cm HD Ready LED Smart WebOS TV,Purba Champaran District,"Nov, 2023",32LM563BPTC
38,"Bad picture quality, bad product, total money waste.",1,LG 80 cm HD Ready LED Smart WebOS TV,Mahuva,"Nov, 2023",32LM563BPTC
39,Picture quality is very poor.,1,LG 80 cm HD Ready LED Smart WebOS TV,Shahdol,"Nov, 2023",32LM563BPTC
40,"Svc part is so pathetic, svc have not installed tv properly, it's still shaking, also technician have installed the TV incline, it's not fitted as per wall surface, so poor svc from svc end",1,LG 80 cm HD Ready LED Smart WebOS TV,Navi Mumbai,"Nov, 2023",32LM563BPTC
41,Very worst,1,LG 80 cm HD Ready LED Smart WebOS TV,Namakkal District,"Nov, 2023",32LM563BPTC
42,Mirror casting very low quality waste of money wrong product don't buy it,1,LG 80 cm HD Ready LED Smart WebOS TV,Shakti Nagar Ntpc Township,"Nov, 2023",32LM563BPTC
43,Good Product But Not Best,1,LG 80 cm HD Ready LED Smart WebOS TV,Bikaner,"Nov, 2023",32LM563BPTC
44,Not as Expected . . . Picture is not clear,1,LG 80 cm HD Ready LED Smart WebOS TV,Guntur District,"Nov, 2023",32LM563BPTC
45,Worst product. It do not have mic,1,LG 80 cm HD Ready LED Smart WebOS TV,Saharanpur,"Nov, 2023",32LM563BPTC
46,Not interesting,1,LG 80 cm HD Ready LED Smart WebOS TV,Rewari,"Oct, 2023",32LM563BPTC
47,Bad quality service very poor,1,LG 80 cm HD Ready LED Smart WebOS TV,Paschim Medinipur District,"Oct, 2023",32LM563BPTC
48,"Order this on 11 oct 2023 Tv delivered on 21 oct 2023 Tv Got installation on 23 oct
Tv is Good But the LG coustomer Service is very Third class after 9 months in display it coming Green lines and TV display becomes Fully Green Given Complaint on 12 July 2024 till 22 july 2024 they didn't change my Panel I didn't Accept this types of third class customer services from LG if you need a Good customer service Look for Any Other Device (The LG has Given Coustomer Services To SKYLARK ASSOCIATES)",1,LG 80 cm HD Ready LED Smart WebOS TV,Kalyan,"Oct, 2023",32LM563BPTC
49,Tv remote control not working not hd quality problem,1,LG 80 cm HD Ready LED Smart WebOS TV,Mathura,"Oct, 2023",32LM563BPTC
50,Worst experience vest product,1,LG 80 cm HD Ready LED Smart WebOS TV,Yadadri District,"Oct, 2023",32LM563BPTC
51,"Not Worth Buying Its HD Ready Model only, Spend Rs. 5000 more and get Full HD TV. ITS Very small size, Poor panel quality TV Very Basic Remote. Not at all Recommend, Sony Tvs are best Raise your budget and get a sony tv only.",1,LG 80 cm HD Ready LED Smart WebOS TV,Bhilwara,"Oct, 2023",32LM563BPTC
52,"I have 2 Mi led tvs and that's why I didn't want to purchase 3rd one for my Parents. Trust me guys, I made a big mistake. LG cannot beat Mi in any ground, Picture quality, Software handling, design, wall mount even the Remote, all disappointed me as compared to Mi tv.. Please don't waste your money as I did...",2,LG 80 cm HD Ready LED Smart WebOS TV,Thane District,"Feb, 2024",32LM563BPTC
53,Don't buy this,2,LG 80 cm HD Ready LED Smart WebOS TV,Krishna District,"Apr, 2024",32LM563BPTC
54,picture quality is very bad,2,LG 80 cm HD Ready LED Smart WebOS TV,Mumbai,"Aug, 2024",32LM563BPTC
55,Product ok delivery and insulation very very worst,2,LG 80 cm HD Ready LED Smart WebOS TV,Ranipet District,"Aug, 2024",32LM563BPTC
56,Quality of product diminishes as compare to few years back,2,LG 80 cm HD Ready LED Smart WebOS TV,Patiala Division,"Aug, 2024",32LM563BPTC
57,There software optimisation too bad lag issue too much and sone time automatically of and on and colour contrast not much high in this price point and not given magic remote in price point be aware you other company led in this price point high quality of led provided,2,LG 80 cm HD Ready LED Smart WebOS TV,Bhiwadi,"Jul, 2024",32LM563BPTC
