,text,star,hp_data,city,transformed_date,product_num
0,"PLEASE DO NOTE THAT: THE TV DOES NOT COME WITH A TABLE TOP STAND. TECHNICIAN FROM JEEVES PROVIDED BY FLIPKART HAS ABSOLUTELY NO KNOWLEDGE, IS COMPLETELY UNPROFESSIONAL AND USELESS. HE DOES NOT HAVE ACCESS TO TABLE TOP STAND, YOU WILL HAVE TO GET IT SEPARATELY FROM SAMSUNG SERVICE CENTRE. UTTERLY DISAPPOINTED WITH FLIPKART AND JEEVES.",1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,New Town,"Aug, 2024",UA32T4380AKXXL
1,"The picture quality is very very bad, I didn't expect from this samsung brand....",1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Dindigul,"Aug, 2024",UA32T4380AKXXL
2,Very bad experience automatic switch off/on also some time facing sound issue sound not coming,1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Noida,"Aug, 2024",UA32T4380AKXXL
3,I ordered but in 20 days screen went blurring.not working,1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Hosapete,"Aug, 2024",UA32T4380AKXXL
4,Nice products,1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Sheohar District,"Jul, 2024",UA32T4380AKXXL
5,Worst experience with Flipkart.... Very worst app for shopping electronics...,1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Guntur District,"Jul, 2024",UA32T4380AKXXL
6,"Very slowly working and something hanging issue found.
Sound quality avarage.",1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Kolhan Division,"Jul, 2024",UA32T4380AKXXL
7,This is really worst item. Picture quality is the worst. Don't purchase please.,1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Jaisalmer,"Jun, 2024",UA32T4380AKXXL
8,"After buying Samsung TV, when I called for installation, I had to face trouble with customer care and I don't get any cancellation option from Flipkart and no matter how much I talked to Flipkart customer care, I don't get any result, so please think before buying.",1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,New Delhi,"Jun, 2024",UA32T4380AKXXL
9,Worst product. Alway have wifi connectivity problem. Have internal problem from starting. I sell it today at 2000,1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Rangia,"Jun, 2024",UA32T4380AKXXL
10,"8 day only life, board problem, don't buy this. Wast of money",1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Cuddalore District,"Apr, 2024",UA32T4380AKXXL
11,"Among many other shortcomings, the worst one is that it doesn't have a 3.5mm audio out jack. Samsung, are you that confident with your speakers or is your design team underpaid?",1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Jeypur,"Apr, 2024",UA32T4380AKXXL
12,Its ozm product in this price range,1,SAMSUNG 80 cm HD Ready LED Smart Tizen TV with Bezel-free Design,Perinthalmanna,"Apr, 2024",UA32T4380AKXXL
