,text,star,hp_data,city,transformed_date,product_num
0,Water is coming,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Chirala,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
1,Side body over when use lo cooling ... please don't buy this product..,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Anakapalli District,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
2,Not cooling fast bad quality... Im not happy,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Samastipur District,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
3,"Not up to the mark, it is producing too much sound like a cut cut, it seems to me that something is broken inside the compressor. Horrible I will not recommend to buying this, if you go for Samsung it is actually a waste of money to spoil your sleep at night due to the horrific sound.",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Presidency Division,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
4,Worst product,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bathinda,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
5,Out side heating,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bhiwadi,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
6,Damaged,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Siddharthnagar District,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
7,The product is very good delivery boy behavior is also so good,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Agartala,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
8,Refridgerator got heat at both sides,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Salem,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
9,Very poor experience,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Basirhat,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
10,Poor,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Jharia Khas,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
11,Very bad,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Sultanpur District,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
12,Dear all please don't buy. Waste of money,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bengaluru,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
13,"Over Heat
No Buy
Customer care Not Support 👎
Samsung Best' Company
But This Model Worst Product",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Tiruchirappalli,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
14,Bad,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Kolkata,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
15,Very poor products Samsung company,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Telipara Tea Garden,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
16,"Water leakage from the front door. tray size below the freezer small, so water is leaking from front when power is off",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Vizianagaram District,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
17,"Very bad
Not properly working
Access Water leakage.
Waste of money
Return policy is to bad",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Madhubani District,"May, 2024","Camellia Blue, RR20C1824CU/HL"
18,Not Good. .heating problem,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Dhampur,"May, 2024","Camellia Blue, RR20C1824CU/HL"
19,Too much ice. Defrost system looks fake. Getting Electric Shock while touching side body.,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Madhupur,"May, 2024","Camellia Blue, RR20C1824CU/HL"
20,"This is not working as 0 cooling and no support,after one month alos no support",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Chittoor District,"May, 2024","Camellia Blue, RR20C1824CU/HL"
21,Very bed,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Rewari,"May, 2024","Camellia Blue, RR20C1824CU/HL"
22,Short circuit continue,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,New Delhi,"May, 2024","Camellia Blue, RR20C1824CU/HL"
23,Company Name big but performance 👎,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Lucknow,"May, 2024","Camellia Blue, RR20C1824CU/HL"
24,Heavy noise like helicopter and vibration,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Palakurthy,"May, 2024","Camellia Blue, RR20C1824CU/HL"
25,"Poor handling by delivery persons, looked fine on delivery day but the next day the glasses inside started to shatter into pieces. My heart broke when the delivery person threw the fridge like foodball from tempo.",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bengaluru,"May, 2024","Camellia Blue, RR20C1824CU/HL"
26,"After 4 days the refrigerator is not working properly. There is in the power supply problem. When I want to replace the refrigerator isn't replace exchange or refund. I suggest all of you, please don't purchase from Flipkart.",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Palwal District,"May, 2024","Camellia Blue, RR20C1824CU/HL"
27,Small amount of current passing in back portion,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Arrah,"May, 2024","Camellia Blue, RR20C1824CU/HL"
28,"Worst experience with the Flipkart merchant and Bank options

Which was shown as no cost EMI, later charged 1000 rupees extra.
Worst experience with customer care also no response both from Flipkart and banker",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Ysr District,"May, 2024","Camellia Blue, RR20C1824CU/HL"
29,The product not good very disappointed its not freeze properly and back side and side body very hot while it's running,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Beldanga,"May, 2024","Camellia Blue, RR20C1824CU/HL"
30,3 month problem,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Dharmapuri District,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
31,Heating issue,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Purba Medinipur District,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
32,But my health was damaged when I'm using fridge some fridges are not good for our health,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Visakhapatnam,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
33,Very bad,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Taliparamba,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
34,Fridge is very Heating both sides.,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Mahbubnagar,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
35,Not good service from the Flipkart nor the product is good,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Kalaburgi,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
36,No cooling,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Malda,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
37,"Bad product
Worst of Manny",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Jamnagar,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
38,Waste,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bhadrachalam,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
39,After using of 20 days getting electric shock don't buy this,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Tirupati,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
40,Very wost,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Nagapattinam District,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
41,Don't buy waste of money use less product not worth of money,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Visakhapatnam,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
42,Good product,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Kashinagara,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
43,Product bad quality page outside full heating 👎👎👎👎,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Gulbarga District,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
44,Product is very good only flipkart service is pathetic,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Konkan Division,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
45,Damaged,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Kamareddy District,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
46,Warest prodct,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Pavagada,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
47,Not Cooling Fast,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Lower Assam Division,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
48,Very bad experience 😕 fridge is more heating🔥,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Rasipuram,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
49,There is noise in compressor at start and there noise/vibration at sidewalls.,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Jalgaon District,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
50,Inner quality very poor,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Kalwakurthy,"Feb, 2024","Camellia Blue, RR20C1824CU/HL"
51,Very poor quality,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Cuddalore,"Feb, 2024","Camellia Blue, RR20C1824CU/HL"
52,This product value money ok,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Siwan,"Feb, 2024","Camellia Blue, RR20C1824CU/HL"
53,"Don't buy, not enough cooling in fridge.",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Hyderabad,"Jan, 2024","Camellia Blue, RR20C1824CU/HL"
54,Inside light not working after only 1 month,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bengaluru,"Dec, 2023","Camellia Blue, RR20C1824CU/HL"
55,Damaged,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Prakasam District,"Dec, 2023","Camellia Blue, RR20C1824CU/HL"
56,Very very bad and poor,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Pipiganj,"Dec, 2023","Camellia Blue, RR20C1824CU/HL"
57,Side heating problem and door bottom finished not properly,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bengaluru,"Nov, 2023","Camellia Blue, RR20C1824CU/HL"
58,Ofter 6 days it's not working give my money back 😡😡😡😡,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Mysuru,"Nov, 2023","Camellia Blue, RR20C1824CU/HL"
59,I am Not Satisfied this Refrigerator very Bad Product Low Quality Product,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Davanagere,"Nov, 2023","Camellia Blue, RR20C1824CU/HL"
60,Heating problem,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Motipur,"Nov, 2023","Camellia Blue, RR20C1824CU/HL"
61,Not it's bad 👎 prodect,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Srinivasa Pura,"Nov, 2023","Camellia Blue, RR20C1824CU/HL"
62,"Refrigerator body touch to sound like wire burning
I'm so disappointing 😔😔😔",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Erode,"Oct, 2023","Camellia Blue, RR20C1824CU/HL"
63,Refrigerator is consumeing very high electricity.,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Chittaurgarh,"Oct, 2023","Camellia Blue, RR20C1824CU/HL"
64,"Product is okay, but Flipkart experience pathetic and third class experience.",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Kalyan,"Oct, 2023","Camellia Blue, RR20C1824CU/HL"
65,Very terrible product,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,New Delhi,"Oct, 2023","Camellia Blue, RR20C1824CU/HL"
66,Very good product,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Srikalahasti,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
67,Not good moisture problem,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,New Delhi,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
68,Product is damaged,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Pune,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
69,Worst Experience with in 3 days refrigerator is not working,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Chittoor District,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
70,"Very bad product it's body very chip and when touch it body it give electric shock
Plz don't buy",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Jaipur,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
71,Very bad product Samsung service system very 😞 product purchase 28/04/23 item issue power not on,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Byasanagar,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
72,very bad products don't buy,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Rohtak,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
73,Poor product no work this product,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Ganjam District,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
74,"Worst experience. I request to all of you, never use flipkart for any product.
My humble request to avoid using flipkart platform for online purchasing.",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Patna,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
75,Light not working.,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Thoothukkudi,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
76,Worrest not cooling after 30 days review don't waste money go by tata voltus refrigerator,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Warangal,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
77,"Samsung fridge 183 L this verry bad
Noice and vibration 📳",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Islampur,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
78,There is no space for water bottles,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Hyderabad,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
79,"Useless product after 6 months oil likage from d fridge and service person took service charges as well as parts repair charges instead of in the warranty of rhe refrigerator.....
Very very unpleasant service from Samsung....",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Dumka,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
80,Wrost product and send me bill of it,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Gurugram,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
81,Very nice,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Kheri District,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
82,"My hard earned money Wasted here.
Refrigerator has a big issue with side heating
Just too much heating issue
Really Disappointed",2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bally,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
83,Heating issue always..,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Hirakud,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
84,In emergency room scratch,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Santirbazar,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
85,Goat sale... fake exchange value bad.. delivery experience bad. product just ok...👎,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Trivandrum,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
86,Samsung refrigerator are heated too much so i suggest dont buy this product,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Greater Noida,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
87,I am not expected,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Jsw Steel Plant Township,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
