,text,star,hp_data,city,transformed_date,product_num
0,Product is making loud rattling noise,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Pune,"Nov, 2023",WW80T504DAX1TL
1,"Very bad experience with installation.
Product is delivered on 5th oct. And today on 10th oct the status is shown that the installation cancelled.
It's too worst service is providing the flipkart.
Not expected.",1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Vashind,"Aug, 2024",WW80T504DAX1TL
2,"The touch pad of the machine has issues from day
Machine stops working in middle very bad experience",1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Mumbai,"Aug, 2024",WW80T504DAX1TL
3,Not satisfied,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Vijayawada,"Aug, 2024",WW80T504DAX1TL
4,"After 2 days using having issue of water supply and when I complain to customer care worst response, 1 week happen but still technician not came .... Worst service by samsung plz don't buy... Better go for Other company.",1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Hyderabad,"Aug, 2024",WW80T504DAX1TL
5,"Installation service not handled well, trained professionals should be assigned for this task. In my case they just gone through the display functions, clicked their necessary job photo and went off as they were not able to solve water leakage, tap issue.",1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Hyderabad,"Aug, 2024",WW80T504DAX1TL
6,It stopped working within just 10 days. The drum is not spinning. Bad quality product. Samsung is the worst.,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Baleshwar District,"Aug, 2024",WW80T504DAX1TL
7,"Genuine review:

Samsung 8.0 kg , the quality of drum is very poor. very light. Not so strong . When knock on the drum, the sound itself speaks of low quality. I had 7.5 kg MARQ front load washing machine. Very robust, drum strong, good build quality. Outer front body got rust with time. It ran 5 years. 2 times per day. 365 days for 5 years.

The door nut and bolt and its fixation with the machine body is of poor quality. If by mistake if you open the door with jolt/ by force, to its maximu...
READ MORE",1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Purba Medinipur,"Aug, 2024",WW80T504DAX1TL
8,Not happy with the installation. Worst customer service. Also the quality of washing is not up to the mark. Washing quality i.e Stain removing is very less when compared to Bosch washing machine.,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Krishnagiri District,"Aug, 2024",WW80T504DAX1TL
9,Worst design and worst installation.....,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Nagari,"Jul, 2024",WW80T504DAX1TL
10,Worst product ever..I could not used this product for one month..,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Chakdaha,"Jun, 2024",WW80T504DAX1TL
11,Good Product with bad installation by jeeves,1,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",Hyderabad,"May, 2024",WW80T504DAX1TL
