,word,freq
0,cooling,500
1,ac,474
2,product,289
3,buy,241
4,lg,200
5,installation,195
6,worst,190
7,room,186
8,1,170
9,bad,164
10,flipkart,161
11,good,138
12,service,133
13,even,131
14,money,120
15,time,105
16,unit,102
17,ton,90
18,experience,89
19,problem,84
20,waste,83
21,one,80
22,low,79
23,month,71
24,water,71
25,cool,70
26,also,70
27,indoor,68
28,much,67
29,poor,66
30,takes,64
31,mode,63
32,working,62
33,c,62
34,quality,59
35,outdoor,58
36,using,54
37,never,53
38,properly,53
39,company,52
40,please,51
41,days,51
42,customer,51
43,getting,50
44,3,46
45,4,45
46,5,44
47,2,44
48,done,42
49,less,42
50,issue,40
51,get,39
52,buying,39
53,ever,38
54,capacity,37
55,review,37
56,technician,36
57,install,35
58,0,35
59,high,35
60,purchase,34
61,products,34
62,set,34
63,jeeves,33
64,star,33
65,temperature,32
66,25,32
67,remote,31
68,power,31
69,air,31
70,team,29
71,hour,29
72,installed,28
73,leakage,28
74,day,28
75,week,28
76,able,28
77,running,28
78,want,27
79,per,27
80,giving,27
81,better,27
82,another,26
83,class,26
84,work,26
85,size,26
86,noise,26
87,writing,26
88,put,25
89,read,25
90,leaking,25
91,old,24
92,really,24
93,go,24
94,model,24
95,delivered,24
96,hours,24
97,temprature,24
98,28,24
99,brand,23
100,like,23
101,10,22
102,30,22
103,use,22
104,totally,21
105,swing,21
106,pipe,21
107,disappointed,21
108,consumption,21
109,energy,20
110,would,19
111,pathetic,19
112,fan,19
113,8,19
114,15,19
115,purchased,18
116,16,18
117,27,18
118,raised,18
119,recommended,18
120,side,18
121,normal,18
122,minutes,18
123,recommend,18
124,till,17
125,hot,17
126,still,17
127,third,17
128,worked,17
129,3rd,17
130,acs,17
131,speed,17
132,20,17
133,take,17
134,virat,17
135,without,17
136,night,17
137,hc,17
138,april,16
139,23,16
140,degree,16
141,nice,16
142,complain,16
143,showpiece,16
144,ahead,16
145,otherwise,16
146,used,16
147,brands,16
148,response,16
149,rate,16
150,may,16
151,partner,16
152,made,16
153,2nd,16
154,appliances,16
155,june,16
156,performance,16
157,condition,16
158,cover,16
159,zero,16
160,kwh,16
161,viraat,16
162,ledhu,16
163,light,14
164,small,14
165,hitachi,14
166,satisfied,13
167,cooler,13
168,temp,13
169,within,12
170,electricity,12
171,know,12
172,taking,12
173,engineer,12
174,dont,12
175,ai,12
176,colling,11
177,100,11
178,non,11
179,sufficient,11
180,provide,11
181,complaint,11
182,wrost,11
183,bring,11
184,24,11
185,ifb,10
186,big,10
187,return,10
188,issues,10
189,way,10
190,stop,10
191,continuous,10
192,support,10
193,slow,10
194,plz,10
195,bill,10
196,completely,10
197,person,10
198,provided,10
199,process,10
200,noisy,10
201,okay,10
202,got,10
203,care,10
204,option,10
205,bought,10
206,6,10
207,display,10
208,extra,10
209,nothing,10
210,consumes,10
211,anyone,10
212,behaviour,10
213,compared,10
214,voltas,10
215,past,10
216,inverter,10
217,times,10
218,value,10
219,date,10
220,degrees,10
221,years,9
222,exchange,9
223,need,9
224,actual,9
225,us,9
226,wrong,9
227,efficient,9
228,dropped,9
229,received,9
230,heavy,9
231,people,9
232,hate,9
233,machine,9
234,gas,9
235,pls,9
236,expensive,9
237,switched,9
238,worse,9
239,took,9
240,stand,9
241,useless,9
242,sq,9
243,ft,9
244,mins,9
245,peak,9
246,claims,9
247,unsatisfied,9
248,refrain,9
249,observed,9
250,wasted,9
251,promised,9
252,suggest,9
253,since,9
254,authorized,8
255,blaming,8
256,request,8
257,lie,8
258,junk,8
259,17,8
260,horrible,8
261,run,8
262,understand,8
263,hometown,8
264,wear,8
265,blanket,8
266,feeling,8
267,iv,8
268,fooled,8
269,guy,8
270,normally,8
271,things,8
272,disastrous,8
273,ge,8
274,white,8
275,bedroom,8
276,accept,8
277,serious,8
278,bedside,8
279,shower,8
280,refund,8
281,policy,8
282,mentioned,8
283,store,8
284,thanks,8
285,4400w,8
286,cheating,8
287,selling,8
288,compare,8
289,instllation,8
290,continously,8
291,following,8
292,positive,8
293,watter,8
294,leek,8
295,line,8
296,instent,8
297,spoken,8
298,lekeage,8
299,drastically,8
300,defective,8
301,seving,8
302,bluestar,8
303,tonn,8
304,resolved,8
305,known,8
306,tema,8
