,word,freq
0,good,36
1,ac,30
2,product,25
3,cooling,20
4,nice,14
5,installation,14
6,unit,13
7,lg,12
8,10,12
9,flipkart,8
10,outdoor,8
11,silent,7
12,right,7
13,less,7
14,low,6
15,like,6
16,side,6
17,space,6
18,money,6
19,best,6
20,window,6
21,room,6
22,first,5
23,really,5
24,price,5
25,operation,5
26,well,5
27,awesome,5
28,cool,5
29,time,5
30,design,5
31,go,5
32,super,5
33,happy,5
34,indoor,4
35,pcb,4
36,working,4
37,od,4
38,limited,4
39,worst,4
40,perfect,4
41,done,4
42,worth,4
43,products,4
44,use,4
45,review,4
46,energy,4
47,delivery,4
48,value,4
49,1,4
50,fast,4
51,great,4
52,would,3
53,maintenance,3
54,read,3
55,service,3
56,work,3
57,recommended,3
58,efficiency,3
59,5,3
60,power,3
61,consumption,3
62,overall,3
63,pros,3
64,cons,3
65,40,3
66,capacity,3
67,easy,3
68,look,3
69,one,3
70,features,3
71,remote,3
72,noise,3
73,model,3
74,superb,3
75,excellent,3
76,quality,3
77,life,2
78,feeling,2
79,gud,2
80,got,2
81,facilities,2
82,day,2
83,recommend,2
84,everyone,2
85,buying,2
86,liked,2
87,units,2
88,operated,2
89,mobile,2
90,wifi,2
91,looking,2
92,modern,2
93,fitted,2
94,top,2
95,therefore,2
96,need,2
97,kept,2
98,future,2
99,replacement,2
100,mechanic,2
101,fit,2
102,left,2
103,hence,2
104,fixing,2
105,balcony,2
106,people,2
107,r,2
108,jeevas,2
109,instalation,2
110,boys,2
111,useful,2
112,worker,2
113,skill,2
114,full,2
115,definitely,2
116,rooms,2
117,bigger,2
118,150,2
119,square,2
120,metres,2
121,happens,2
122,making,2
123,couple,2
124,months,2
125,add,2
126,updated,2
127,9,2
128,2,2
129,using,2
130,thank,2
131,summer,2
132,high,2
133,temp,2
134,also,2
135,satisfied,2
136,swing,2
137,far,2
138,unique,2
139,minutes,2
140,buy,2
141,thanks,2
142,services,2
143,size,2
144,c,2
145,supreb,1
146,feature,1
147,vary,1
148,hour,1
149,running,1
150,28c,1
151,1unit,1
152,two,1
153,weeks,1
154,machine,1
155,delivering,1
156,cheaper,1
157,market,1
158,promised,1
159,noises,1
160,cooler,1
161,speed,1
162,fan,1
163,3,1
164,compact,1
165,functions,1
166,love,1
167,run,1
168,percent,1
169,still,1
170,set,1
171,26,1
172,deg,1
173,bill,1
174,mind,1
175,blowing,1
176,fully,1
177,removal,1
178,airfilter,1
179,smart,1
180,different,1
181,modes,1
182,available,1
183,highly,1
184,exllent,1
185,saver,1
186,upto,1
187,mark,1
188,thing,1
189,lacks,1
190,backlight,1
191,surely,1
192,improve,1
193,small,1
194,things,1
195,found,1
196,let,1
197,summarise,1
198,convertible,1
199,helps,1
200,60,1
201,80,1
202,compared,1
203,acs,1
204,used,1
205,many,1
206,comparatively,1
207,makes,1
208,much,1
209,sound,1
210,ofcourse,1
211,cannot,1
212,compare,1
213,split,1
214,compressor,1
215,outer,1
216,installed,1
217,inverter,1
218,choices,1
219,getting,1
220,2022,1
221,attractive,1
222,cools,1
223,month,1
224,160sqft,1
225,n,1
226,saving,1
227,als,1
228,initially,1
229,take,1
230,classy,1
231,actually,1
232,360,1
233,sq,1
234,feet,1
235,confused,1
236,friend,1
237,suggest,1
238,totally,1
239,noice,1
240,install,1
241,air,1
242,conditioner,1
243,paisa,1
244,wasool,1
245,new,1
246,beautiful,1
247,successfully,1
248,jeevs,1
249,brought,1
250,family,1
251,bit,1
252,competitors,1
253,sale,1
254,boy,1
255,dealing,1
256,sow,1
257,number,1
258,filpkart,1
259,commendable,1
260,made,1
261,choice,1
262,admire,1
263,reliable,1
264,wise,1
265,durable,1
266,long,1
267,lasting,1
268,coast,1
269,amazing,1
270,stand,1
271,strong,1
272,otherwise,1
273,ton,1
274,star,1
275,pro,1
276,chala,1
277,bagundiii,1
278,including,1
279,virat,1
280,quickly,1
281,professionally,1
282,clearly,1
283,explained,1
284,loved,1
285,option,1
286,timer,1
287,options,1
288,week,1
289,performance,1
290,suggestion,1
291,think,1
292,separate,1
293,charge,1
294,every,1
295,penny,1
296,sarvesh,1
