,word,freq
0,good,236
1,product,144
2,nice,96
3,refrigerator,27
4,money,25
5,flipkart,25
6,lg,23
7,value,21
8,delivery,21
9,happy,17
10,best,15
11,fridge,15
12,thank,13
13,price,13
14,small,12
15,time,12
16,design,11
17,excellent,11
18,go,11
19,performance,10
20,family,9
21,cooling,9
22,ok,9
23,installation,9
24,like,9
25,fast,9
26,capacity,8
27,super,8
28,quality,8
29,awesome,7
30,great,7
31,thanks,7
32,everything,6
33,defrost,6
34,overall,6
35,products,6
36,service,6
37,budget,6
38,buy,6
39,delivered,6
40,5,5
41,find,5
42,3,5
43,really,5
44,wonderful,5
45,looking,5
46,worth,5
47,need,4
48,one,4
49,mother,4
50,4,4
51,worst,4
52,properly,4
53,done,4
54,members,4
55,size,4
56,also,4
57,working,4
58,u,4
59,door,4
60,mind,3
61,basket,3
62,review,3
63,brand,3
64,superb,3
65,wife,3
66,liked,3
67,care,3
68,much,3
69,k,3
70,month,3
71,okay,3
72,low,3
73,make,3
74,sales,3
75,beautiful,3
76,satisfied,3
77,tray,3
78,2,3
79,cost,3
80,sound,3
81,less,3
82,otherwise,3
83,days,3
84,power,3
85,exess,3
86,noise,3
87,well,2
88,little,2
89,usage,2
90,better,2
91,operation,2
92,gifted,2
93,usefull,2
94,6,2
95,person,2
96,special,2
97,gift,2
98,love,2
99,reficiter,2
100,recommended,2
101,wait,2
102,hour,2
103,switching,2
104,manual,2
105,bit,2
106,outdated,2
107,cover,2
108,fit,2
109,call,2
110,customer,2
111,said,2
112,20,2
113,store,2
114,lots,2
115,cold,2
116,drinks,2
117,foods,2
118,1,2
119,users,2
120,range,2
121,n,2
122,dear,2
123,researches,2
124,researche,2
125,take,2
126,bat,2
127,dore,2
128,side,2
129,hitting,2
130,esu,2
131,hai,2
132,actually,2
133,segment,2
134,valu,2
135,vegitables,2
136,storage,2
137,anyway,2
138,desined,2
139,10,2
140,8,2
141,hey,2
142,sense,2
143,unique,2
144,post,2
145,loved,2
146,friendly,2
147,prises,2
148,ordered,2
149,paint,2
150,amazing,2
151,must,2
152,tooo,2
153,nicee,2
154,prod,2
155,prodect,2
156,late,2
157,god,2
158,blowing,2
159,v,2
160,company,2
161,reasonable,2
162,semma,2
163,families,2
164,freeze,2
165,verry,2
166,cool,2
167,outer,2
168,open,2
169,seems,2
170,fine,2
171,consumption,2
172,drawer,2
173,stand,2
174,people,2
175,another,2
176,received,2
177,looks,2
178,except,2
179,bought,2
180,purchase,2
181,look,2
182,poised,1
183,terms,1
184,utility,1
185,fantastically,1
186,executed,1
187,keeping,1
188,complain,1
189,regarding,1
190,crispier,1
191,bigger,1
192,faster,1
193,satisfactory,1
194,based,1
195,3months,1
196,almost,1
197,silent,1
198,15k,1
199,experienced,1
200,demo,1
201,technician,1
202,ts,1
203,choice,1
204,guys,1
205,quickly,1
206,system,1
207,big,1
208,lovedit,1
209,grateful,1
210,total,1
211,wonderfull,1
212,deel,1
213,totally,1
214,vey,1
215,simple,1
216,seller,1
217,sending,1
218,safely,1
219,goods,1
220,outside,1
221,delicate,1
222,please,1
223,maintain,1
224,onion,1
225,potato,1
226,supar,1
227,refrigeter,1
228,thnk,1
229,completely,1
230,satisfying,1
231,modal,1
232,star,1
233,features,1
234,prdoct,1
235,delevry,1
236,2day,1
237,high,1
238,deal,1
239,future,1
240,solar,1
241,technology,1
242,writing,1
243,anyone,1
244,want,1
245,function,1
246,brad,1
247,printed,1
248,flifkart,1
249,may,1
250,present,1
251,fresh,1
252,zone,1
253,inside,1
254,brokened,1
255,condition,1
256,checked,1
257,parts,1
258,damages,1
259,try,1
260,return,1
261,never,1
262,expect,1
263,cheating,1
264,alarm,1
265,missing,1
266,important,1
267,thing,1
268,nicely,1
269,helped,1
270,install,1
271,deliveryman,1
272,pf,1
273,update,1
274,flaws,1
275,came,1
276,choose,1
277,exchange,1
278,offer,1
279,booking,1
280,order,1
281,shows,1
282,rs,1
283,800to2700,1
284,old,1
285,say,1
286,600,1
287,different,1
288,written,1
289,energy,1
290,efficient,1
291,qulaity,1
292,material,1
293,though,1
294,freezing,1
295,prompt,1
296,services,1
297,comfortable,1
298,initial,1
299,observation,1
300,base,1
301,bulges,1
302,loading,1
303,knowledge,1
304,equipment,1
305,guality,1
306,sometimes,1
307,moves,1
308,whole,1
309,moved,1
310,quelity,1
311,compaired,1
312,compny,1
313,prosessing,1
314,fees,1
315,sagest,1
316,costumer,1
317,dont,1
318,platform,1
319,totaly,1
320,produced,1
321,yesterday,1
322,evening,1
323,started,1
324,scheduled,1
325,us,1
326,ekart,1
327,supportive,1
328,persons,1
329,responded,1
330,calls,1
331,followed,1
332,address,1
333,took,1
334,front,1
335,bump,1
336,damage,1
337,kind,1
338,button,1
339,available,1
340,pressing,1
341,water,1
342,collects,1
343,container,1
344,back,1
345,given,1
346,lot,1
347,space,1
348,keep,1
349,things,1
350,refregtor,1
351,monk,1
352,delevery,1
353,medium,1
354,noiseless,1
355,compressor,1
356,issue,1
357,frost,1
358,formation,1
359,early,1
360,give,1
361,feedback,1
362,week,1
363,dilevry,1
364,right,1
365,using,1
366,last,1
367,1year,1
368,faced,1
369,issues,1
370,forget,1
371,able,1
372,freezer,1
373,summer,1
