,word,freq
0,good,265
1,quality,148
2,tv,143
3,product,138
4,sound,102
5,picture,101
6,nice,95
7,lg,75
8,money,57
9,value,45
10,installation,36
11,price,35
12,flipkart,35
13,great,31
14,best,29
15,remote,28
16,awesome,28
17,super,25
18,excellent,25
19,experience,23
20,go,22
21,like,22
22,delivery,22
23,overall,21
24,also,20
25,better,20
26,connectivity,18
27,ok,16
28,thank,16
29,amazing,16
30,time,14
31,satisfied,14
32,features,14
33,2,14
34,happy,14
35,brand,13
36,smart,13
37,superb,13
38,days,13
39,one,12
40,magic,12
41,purchase,12
42,fast,12
43,thanks,12
44,display,12
45,really,12
46,service,11
47,need,11
48,love,11
49,1,10
50,little,10
51,screen,10
52,os,10
53,5,10
54,day,9
55,voice,9
56,home,9
57,u,9
58,much,9
59,range,9
60,bit,8
61,budget,8
62,low,8
63,issues,8
64,rating,8
65,worth,8
66,apple,8
67,star,8
68,filpcart,8
69,well,8
70,even,8
71,except,7
72,brands,7
73,using,7
74,apps,7
75,use,7
76,bad,7
77,less,7
78,support,7
79,oled,7
80,got,7
81,done,7
82,process,6
83,without,6
84,okay,6
85,easy,6
86,software,6
87,gives,6
88,normal,6
89,pictures,6
90,consumes,6
91,average,6
92,app,6
93,decent,6
94,clarity,6
95,delivered,6
96,deal,6
97,bought,6
98,control,6
99,read,6
100,purchased,5
101,inch,5
102,late,5
103,compare,5
104,android,5
105,compared,5
106,next,5
107,trusted,5
108,performance,5
109,4k,5
110,properly,5
111,works,5
112,colour,5
113,high,5
114,hd,5
115,buy,5
116,web,5
117,products,5
118,item,5
119,television,5
120,cons,5
121,pic,5
122,4,5
123,want,5
124,everything,5
125,fabulous,5
126,output,5
127,hall,5
128,ips,5
129,clear,5
130,32,4
131,2023,4
132,extra,4
133,give,4
134,mark,4
135,mi,4
136,company,4
137,new,4
138,device,4
139,system,4
140,mobile,4
141,absolutely,4
142,sometimes,4
143,work,4
144,turn,4
145,review,4
146,operation,4
147,sd,4
148,sounds,4
149,beautiful,4
150,electricity,4
151,clean,4
152,view,4
153,must,4
154,viewing,4
155,big,4
156,3,4
157,worthy,4
158,size,4
159,due,4
160,waooo,4
161,enough,4
162,think,4
163,watch,4
164,point,4
165,expected,4
166,thought,4
167,feature,4
168,build,4
169,thing,4
170,panel,4
171,wall,4
172,mount,4
173,month,3
174,research,3
175,update,3
176,ai,3
177,mode,3
178,brought,3
179,man,3
180,came,3
181,installed,3
182,wonderful,3
183,missing,3
184,different,3
185,model,3
186,impressed,3
187,used,3
188,otherwise,3
189,limited,3
190,always,3
191,usage,3
192,months,3
193,10,3
194,led,3
195,lag,3
196,bluetooth,3
197,search,3
198,get,3
199,job,3
200,level,3
201,anyone,3
202,improve,3
203,however,3
204,google,3
205,slim,3
206,sony,3
207,samsung,3
208,volume,3
209,20w,3
210,finally,3
211,power,3
212,connected,3
213,within,3
214,top,3
215,cost,3
216,regret,3
217,slow,3
218,customer,3
219,video,3
220,rest,3
221,things,3
222,exchange,3
223,offer,3
224,offers,3
225,quick,3
226,till,3
227,could,3
228,would,3
229,usb,3
230,20,3
231,provided,3
232,perfect,3
233,55,3
234,set,3
235,simply,3
236,reviews,3
237,local,2
238,2000,2
239,investment,2
240,5vtob10,2
241,yrs,2
242,plss,2
243,per,2
244,justified,2
245,toomuch,2
246,burget,2
247,imagine,2
248,others,2
249,expensive,2
250,providing,2
251,command,2
252,operating,2
253,understand,2
254,familiar,2
255,access,2
256,expecting,2
257,automatically,2
258,cropped,2
259,specifications,2
260,midrange,2
261,sone,2
262,1month,2
263,write,2
264,enhanced,2
265,jj,2
266,supports,2
267,cant,2
268,vpn,2
269,compete,2
270,available,2
271,slightly,2
272,ease,2
273,speakers,2
274,connect,2
275,additional,2
276,smooth,2
277,free,2
278,many,2
279,option,2
280,takes,2
281,soundbar,2
282,able,2
283,pros,2
284,casting,2
285,speaker,2
286,last,2
287,make,2
288,bass,2
289,remot,2
290,looking,2
291,poor,2
292,pretty,2
293,still,2
294,40k,2
295,operated,2
296,lgthinq,2
297,realise,2
298,received,2
299,condition,2
300,values,2
301,fat,2
302,deducted,2
303,laggy,2
304,sec,2
305,bear,2
306,parameters,2
307,hdr10,2
308,hdr,2
309,fine,2
310,filling,2
311,70,2
312,38499,2
313,bb,2
314,brain,2
315,eagerness,2
316,lcd,2
317,spent,2
318,shipped,2
319,theatre,2
320,inverter,2
321,battery,2
322,quickly,2
323,interested,2
324,45000,2
325,interference,2
326,two,2
327,remaining,2
328,initially,2
329,going,2
330,non,2
331,rich,2
332,compromise,2
333,second,2
334,never,2
335,decision,2
336,louder,2
337,36000,2
338,services,2
339,parents,2
340,loving,2
341,nearby,2
342,1lakh,2
343,booked,2
344,account,2
345,perfectly,2
346,faced,2
347,please,2
348,operate,2
349,highlight,2
350,mouse,2
351,thanku,2
352,tq,2
353,ex,2
354,bank,2
355,resnable,2
356,delay,2
357,perfection,2
358,box,2
359,every,2
360,frame,2
361,known,2
362,cursor,2
363,stunning,2
364,premium,2
365,paid,2
366,tvs,2
367,fully,2
368,watching,2
369,given,2
370,loved,2
371,stb,2
372,flip,2
373,stars,2
374,fantastic,2
375,night,2
376,first,2
377,problem,2
378,drawback,2
379,hdmi,2
380,improved,2
381,internet,2
382,settings,2
383,previous,2
384,e,2
385,part,2
386,fix,2
387,bolt,2
388,right,2
389,say,2
390,upto,2
391,bar,2
392,buyers,2
393,definitely,2
394,videos,2
395,webos,2
396,uq8020,2
397,con,2
398,solved,2
399,small,1
400,mistake,1
401,single,1
402,boy,1
403,2022,1
404,thankyou,1
405,watts,1
406,rate,1
407,gud,1
408,head,1
409,phone,1
410,jack,1
411,working,1
412,magical,1
413,pair,1
414,disappointed,1
415,medicore,1
416,avarage,1
417,external,1
418,liked,1
419,points,1
420,observed,1
421,optimisation,1
422,multiple,1
423,options,1
424,720p,1
425,remember,1
426,difference,1
427,connectevity,1
428,expect,1
429,musical,1
430,mind,1
431,blowing,1
432,heavy,1
433,another,1
434,manufactur,1
435,dth,1
436,tata,1
437,sky,1
438,channel,1
439,ott,1
440,platform,1
441,people,1
442,reliable,1
443,technician,1
444,useful,1
445,dont,1
446,gots,1
447,stucks,1
448,receive,1
449,stand,1
450,crystal,1
451,colours,1
452,delightful,1
453,brightness,1
454,ambient,1
455,lighting,1
456,bright,1
457,qled,1
458,fact,1
459,sorry,1
460,q990c,1
461,cinematic,1
462,dolby,1
463,atmos,1
464,effects,1
465,earc,1
466,real,1
467,including,1
468,text,1
469,entry,1
470,etc,1
471,volum,1
472,date,1
473,crts,1
474,leds,1
475,seen,1
476,especially,1
477,qned,1
478,goat,1
479,sale,1
480,card,1
481,hence,1
482,went,1
483,call,1
484,flawless,1
485,bars,1
486,natural,1
487,color,1
488,cares,1
489,eyes,1
490,surrounded,1
491,movie,1
492,timely,1
493,word,1
494,enjoying,1
495,pleasure,1
496,fixture,1
497,instalation,1
498,surprised,1
499,person,1
500,wearing,1
501,mask,1
502,asking,1
503,wear,1
504,looks,1
505,look,1
506,feel,1
507,took,1
508,install,1
509,faster,1
510,exchanges,1
511,provide,1
512,us,1
513,branded,1
514,secondary,1
515,largely,1
516,needed,1
517,pick,1
518,side,1
519,energy,1
520,proportional,1
521,fair,1
522,primary,1
523,recommended,1
524,15hrs,1
525,26,1
526,hours,1
527,delayed,1
528,intimated,1
529,mentioned,1
530,wanted,1
531,yeah,1
532,adorable,1
533,rs,1
534,26999,1
535,billion,1
536,assistance,1
537,soundboxes,1
538,hard,1
539,order,1
540,required,1
541,valuable,1
542,eg,1
543,prefer,1
544,uhd,1
545,cast,1
546,quialty,1
547,exclient,1
548,mirroring,1
549,wifi,1
550,connection,1
551,problems,1
552,28k,1
553,comes,1
554,founded,1
555,varies,1
556,change,1
557,channels,1
558,constant,1
559,conn3ct,1
560,type,1
561,password,1
562,links,1
563,bee,1
564,consumption,1
565,market,1
566,compromised,1
567,live,1
568,football,1
569,matches,1
570,internal,1
571,storage,1
572,let,1
573,navigating,1
574,thru,1
575,difficult,1
576,alone,1
577,though,1
578,kudos,1
579,v,1
580,advanced,1
581,apart,1
582,week,1
583,ago,1
584,3days,1
585,booking,1
586,audio,1
587,cherry,1
588,applications,1
589,play,1
590,store,1
591,chosen,1
592,juet,1
593,guys,1
594,9,1
595,55k,1
596,discount,1
597,worst,1
598,coz,1
599,engineer,1
600,sai,1
601,electro,1
602,craft,1
603,dindigul,1
604,fixed,1
605,move,1
606,front,1
607,back,1
608,main,1
609,upper,1
610,loose,1
611,fall,1
612,asked,1
613,neglected,1
614,told,1
615,outstanding,1
616,upscaling,1
617,dash,1
618,board,1
619,angles,1
620,full,1
621,content,1
622,thinking,1
623,getting,1
624,suggest,1
625,future,1
626,lower,1
627,height,1
628,seated,1
629,centre,1
630,eye,1
631,quite,1
632,inches,1
633,damaged,1
634,recieved,1
635,seller,1
636,delays,1
637,muffled,1
638,crisp,1
639,struggles,1
640,keep,1
641,mid,1
642,tones,1
643,specially,1
644,avg,1
645,43inch,1
646,revolution,1
647,user,1
648,friendliness,1
649,kart,1
650,minus,1
651,ultimate,1
652,tool,1
653,add,1
654,provides,1
655,appreciative,1
656,guy,1
657,behaved,1
658,speed,1
659,resolution,1
660,iam,1
661,15,1
662,12,1
663,disappoint,1
664,thx,1
665,speedy,1
666,loaded,1
667,alexa,1
668,assistant,1
669,handsfree,1
670,gd,1
671,wise,1
672,currently,1
673,experiencing,1
674,fewdays,1
675,pitcher,1
676,delicate,1
677,border,1
678,avesome,1
679,match,1
680,port,1
681,major,1
682,connecting,1
683,agent,1
684,weird,1
685,bcoz,1
686,know,1
687,function,1
688,hurry,1
689,awere,1
690,particular,1
691,generation,1
692,attached,1
693,found,1
694,vivid,1
695,reduce,1
696,sharpness,1
697,23,1
698,ever,1
699,far,1
700,va,1
701,blindly,1
702,freedom,1
703,chromecast,1
704,else,1
705,360p,1
706,upscaled,1
707,tweak,1
708,nec,1
709,might,1
710,large,1
