,word,freq
0,product,356
1,machine,286
2,washing,275
3,bad,182
4,worst,173
5,buy,169
6,good,145
7,clothes,141
8,lg,123
9,money,118
10,waste,101
11,properly,100
12,time,94
13,service,85
14,installation,85
15,flipkart,83
16,working,76
17,poor,73
18,wash,71
19,2,69
20,quality,68
21,water,66
22,also,59
23,problem,55
24,much,54
25,clean,54
26,experience,53
27,detergent,48
28,even,47
29,3,46
30,customer,46
31,purchase,46
32,small,45
33,automatic,44
34,performance,44
35,please,41
36,one,41
37,better,40
38,like,38
39,times,37
40,door,37
41,get,36
42,go,34
43,washed,32
44,cleaning,32
45,delivery,31
46,return,31
47,using,29
48,1,29
49,proper,29
50,drum,29
51,semi,28
52,issue,28
53,ever,28
54,size,28
55,satisfied,27
56,months,26
57,use,26
58,disappointed,26
59,slow,26
60,days,26
61,load,25
62,products,25
63,care,25
64,cloths,24
65,happy,24
66,high,23
67,sound,23
68,used,22
69,support,22
70,bought,22
71,exchange,21
72,5,21
73,still,21
74,stains,21
75,noise,21
76,liquid,20
77,takes,20
78,front,20
79,expected,20
80,kg,20
81,technician,20
82,never,20
83,samsung,20
84,spin,19
85,dry,19
86,4,18
87,take,18
88,many,18
89,u,18
90,running,17
91,price,17
92,8,17
93,person,17
94,well,17
95,stopped,17
96,spinning,17
97,30,17
98,got,16
99,read,16
100,need,16
101,model,16
102,must,16
103,purchased,16
104,full,16
105,thought,16
106,completely,16
107,coming,16
108,brand,16
109,machines,16
110,6,15
111,people,15
112,option,15
113,vibration,15
114,online,14
115,totally,14
116,lot,14
117,within,14
118,month,14
119,last,14
120,us,14
121,demo,14
122,complaint,14
123,options,13
124,work,13
125,company,13
126,going,13
127,first,13
128,function,13
129,cloth,13
130,always,13
131,response,13
132,lock,13
133,forget,12
134,rating,12
135,system,12
136,fraud,12
137,condition,12
138,told,12
139,damaged,12
140,centre,12
141,24,12
142,wasted,12
143,tub,12
144,remove,12
145,fully,12
146,next,12
147,top,12
148,solution,12
149,detergents,12
150,brands,12
151,problems,12
152,getting,12
153,without,12
154,week,12
155,services,12
156,came,12
157,compared,12
158,call,12
159,auto,12
160,mashin,12
161,boy,11
162,done,11
163,extra,10
164,old,10
165,power,10
166,dont,10
167,making,10
168,review,9
169,drying,9
170,less,9
171,capacity,9
172,recommend,9
173,cost,9
174,cannot,9
175,cleaned,9
176,unsatisfied,9
177,feel,9
178,useless,9
179,back,9
180,according,9
181,motor,9
182,nd,9
183,jeans,9
184,value,9
185,nice,9
186,team,9
187,normal,9
188,showing,9
189,item,9
190,said,9
191,expect,9
192,buying,9
193,board,9
194,hours,9
195,anything,9
196,writing,8
197,pros,8
198,cons,8
199,hard,8
200,see,8
201,surf,8
202,cheating,8
203,inside,8
204,local,8
205,distributor,8
206,maybe,8
207,different,8
208,show,8
209,rs,8
210,functionality,8
211,despite,8
212,complete,8
213,works,8
214,nothing,8
215,12,8
216,07,8
217,everything,8
218,years,8
219,year,8
220,warranty,8
221,otherwise,8
222,regret,8
223,specially,8
224,powder,8
225,center,8
226,loss,8
227,wastage,8
228,app,8
229,mechine,8
