,word,freq
0,good,173
1,product,98
2,nice,49
3,lg,39
4,machine,33
5,washing,30
6,performance,20
7,money,19
8,best,19
9,flipkart,17
10,value,16
11,thanks,16
12,quality,13
13,awesome,13
14,superb,12
15,delivery,12
16,super,11
17,excellent,11
18,one,10
19,clothes,10
20,products,9
21,5,9
22,kg,9
23,use,9
24,easy,9
25,time,9
26,working,8
27,also,8
28,go,8
29,service,8
30,wash,7
31,small,6
32,like,6
33,thank,6
34,design,6
35,buy,5
36,everything,5
37,got,5
38,installation,5
39,happy,5
40,1,5
41,overall,5
42,always,5
43,automatic,4
44,8,4
45,using,4
46,without,4
47,really,4
48,days,4
49,family,4
50,ok,4
51,great,4
52,used,4
53,work,3
54,noise,3
55,properly,3
56,experience,3
57,absolutely,3
58,wire,3
59,well,3
60,expected,3
61,sound,3
62,many,3
63,need,3
64,plug,3
65,thing,3
66,door,3
67,purchase,3
68,price,3
69,2,3
70,day,3
71,highly,3
72,better,3
73,every,3
74,u,3
75,4,3
76,long,3
77,smooth,3
78,fully,3
79,program,3
80,wonderful,3
81,must,3
82,worth,3
83,10,3
84,top,3
85,love,3
86,till,2
87,market,2
88,check,2
89,pipe,2
90,semi,2
91,company,2
92,washes,2
93,nyc,2
94,done,2
95,little,2
96,known,2
97,fantastic,2
98,15,2
99,years,2
100,simply,2
101,body,2
102,old,2
103,almost,2
104,life,2
105,bad,2
106,flipcart,2
107,bought,2
108,functions,2
109,delivered,2
110,within,2
111,services,2
112,washed,2
113,fine,2
114,usage,2
115,drum,2
116,silent,2
117,size,2
118,machines,2
119,lock,2
120,start,2
121,week,2
122,vibration,2
123,amount,2
124,neat,2
125,clean,2
126,demo,2
127,task,2
128,liked,2
129,spinning,2
130,due,2
131,easily,2
132,first,2
133,trust,2
134,runs,2
135,looking,2
136,cool,2
137,power,2
138,useful,2
139,would,2
140,definitely,2
141,see,2
142,results,2
143,recommended,2
144,item,2
145,new,2
146,born,2
147,osm,2
148,washable,2
149,removed,2
150,dust,2
151,11,2
152,different,2
153,goog,1
154,making,1
155,running,1
156,customers,1
157,built,1
158,issue,1
159,place,1
160,hold,1
161,connection,1
162,length,1
163,draining,1
164,weight,1
165,companies,1
166,instalation,1
167,didnt,1
168,valuable,1
169,pro,1
170,take,1
171,expensive,1
172,brand,1
173,offer,1
174,pros,1
175,means,1
176,large,1
177,families,1
178,install,1
179,spining,1
180,cons,1
181,buzzer,1
182,spinner,1
183,vibrates,1
184,balanced,1
185,mind,1
186,baloing,1
187,shirt,1
188,slightly,1
189,access,1
190,plugs,1
191,located,1
192,height,1
193,exllent,1
194,prodect,1
195,washer,1
196,joined,1
197,model,1
198,ordered,1
199,condition,1
200,doubt,1
201,roller,1
202,jet,1
203,month,1
204,review,1
205,compact,1
206,full,1
207,plastic,1
208,tub,1
209,feel,1
210,6,1
211,c,1
212,served,1
213,complain,1
214,metal,1
215,felt,1
216,bigger,1
217,present,1
218,took,1
219,weeks,1
220,nbs,1
221,boy,1
222,behavior,1
223,big,1
224,billion,1
225,button,1
226,improvement,1
227,operating,1
228,48hours,1
229,impressed,1
230,yet,1
231,seemed,1
232,us,1
233,pretty,1
234,12,1
235,13,1
236,compared,1
237,ifb,1
238,cannot,1
239,load,1
240,concern,1
241,push,1
242,hard,1
243,back,1
244,issues,1
245,observed,1
246,costwise,1
247,may,1
248,reduce,1
249,direct,1
250,purchasers,1
251,durable,1
252,utility,1
253,3,1
254,months,1
255,slient,1
256,efficient,1
257,completed,1
258,next,1
259,recently,1
260,bbd,1
261,oct,1
262,2023,1
263,though,1
264,early,1
265,feedback,1
266,liking,1
267,lot,1
268,terms,1
269,cleaning,1
270,wonders,1
271,customer,1
272,care,1
273,response,1
274,promptness,1
275,past,1
276,continuous,1
277,member,1
278,facility,1
279,avg,1
280,overally,1
281,comes,1
282,person,1
283,told,1
284,pump,1
285,operation,1
286,daily,1
287,special,1
288,kinds,1
289,justifies,1
290,operates,1
291,silently,1
292,anyone,1
293,search,1
294,watching,1
295,kindly,1
296,consider,1
297,comfortable,1
298,priority,1
299,loving,1
300,year,1
301,cockroach,1
302,inside,1
303,software,1
304,glitch,1
305,stops,1
306,reset,1
307,middle,1
308,completion,1
309,asks,1
310,chose,1
311,makes,1
312,twice,1
313,de,1
314,error,1
315,thrown,1
316,however,1
317,run,1
318,pressed,1
319,fix,1
320,engineer,1
321,searched,1
322,choose,1
323,read,1
324,reviews,1
325,20k,1
326,taking,1
327,gifted,1
328,friend,1
329,wedding,1
330,said,1
331,loved,1
332,provided,1
333,drain,1
334,card,1
335,1mtr,1
336,dood,1
337,v,1
338,suggest,1
339,wort,1
340,doorstep,1
341,saver,1
